gene,p_value_asian,mutation_asian,p_value_black,mutation_black
TP53,0.0071086514007491,0.348101265822785,9.00240915308288e-05,0.6875
LOXHD1,0.0477506514157767,0.0443037974683544,0.0076525237505319,0.125
