Gene,p value Black,mutation rates
NRXN1,1.14331309346357e-05,0.333333333333333
C2orf16,0.0098735476470778,0.222222222222222
CACNA1E,2.2451765130980798e-11,0.222222222222222
COPB1,2.2451765130980798e-11,0.222222222222222
DNER,0.0098735476470778,0.222222222222222
DST,0.0098735476470778,0.222222222222222
F8,0.0098735476470778,0.222222222222222
FCRL2,2.2451765130980798e-11,0.222222222222222
HCFC1,2.2451765130980798e-11,0.222222222222222
INSRR,2.2451765130980798e-11,0.222222222222222
KIR3DL1,2.2451765130980798e-11,0.222222222222222
MAPK8IP3,2.2451765130980798e-11,0.222222222222222
MCF2L2,2.2451765130980798e-11,0.222222222222222
MRPS7,2.2451765130980798e-11,0.222222222222222
PDZD8,2.2451765130980798e-11,0.222222222222222
PRDM15,2.2451765130980798e-11,0.222222222222222
SDK1,2.2451765130980798e-11,0.222222222222222
STXBP5L,2.2451765130980798e-11,0.222222222222222
TBC1D25,2.2451765130980798e-11,0.222222222222222
TMUB2,2.2451765130980798e-11,0.222222222222222
YARS,0.0098735476470778,0.222222222222222
ACACA,0.0019589438256024,0.111111111111111
ACAD10,0.0019589438256024,0.111111111111111
ACIN1,0.0019589438256024,0.111111111111111
ACRV1,0.0019589438256024,0.111111111111111
ADAM9,0.0019589438256024,0.111111111111111
ADAMTS17,0.0019589438256024,0.111111111111111
ADCK2,0.0019589438256024,0.111111111111111
ADCY2,0.0019589438256024,0.111111111111111
ADGRB2,0.0019589438256024,0.111111111111111
AGA,0.0019589438256024,0.111111111111111
AHR,0.0019589438256024,0.111111111111111
AIFM3,0.0019589438256024,0.111111111111111
AIM1L,0.0019589438256024,0.111111111111111
AIP,0.0019589438256024,0.111111111111111
AKAP6,0.0019589438256024,0.111111111111111
AKAP8,0.0019589438256024,0.111111111111111
AKT2,0.0019589438256024,0.111111111111111
ALDH6A1,0.0019589438256024,0.111111111111111
ALG1,0.0019589438256024,0.111111111111111
ALG2,0.0019589438256024,0.111111111111111
AMOT,0.0019589438256024,0.111111111111111
AMPH,0.0019589438256024,0.111111111111111
AMY2A,0.0019589438256024,0.111111111111111
AMY2B,0.0019589438256024,0.111111111111111
ANGPTL1,0.0019589438256024,0.111111111111111
ANKIB1,0.0019589438256024,0.111111111111111
ANKS1A,0.0019589438256024,0.111111111111111
AP3M1,0.0019589438256024,0.111111111111111
APTX,0.0019589438256024,0.111111111111111
ARAP1,0.0019589438256024,0.111111111111111
ARHGAP12,0.0019589438256024,0.111111111111111
ARHGAP44,0.0019589438256024,0.111111111111111
ARHGEF2,0.0019589438256024,0.111111111111111
ARHGEF39,0.0019589438256024,0.111111111111111
ARMC1,0.0019589438256024,0.111111111111111
ARPC1B,0.0019589438256024,0.111111111111111
ASH1L,0.0019589438256024,0.111111111111111
ASTN1,0.0019589438256024,0.111111111111111
ASUN,0.0019589438256024,0.111111111111111
ATL3,0.0019589438256024,0.111111111111111
ATP13A4,0.0019589438256024,0.111111111111111
ATP5H,0.0019589438256024,0.111111111111111
ATP6AP1,0.0019589438256024,0.111111111111111
ATP8B3,0.0019589438256024,0.111111111111111
ATXN2,0.0019589438256024,0.111111111111111
AVEN,0.0019589438256024,0.111111111111111
B4GALT3,0.0019589438256024,0.111111111111111
B4GALT4,0.0019589438256024,0.111111111111111
BAIAP2L1,0.0019589438256024,0.111111111111111
BAZ1B,0.0019589438256024,0.111111111111111
BCAT2,0.0019589438256024,0.111111111111111
BFSP2,0.0019589438256024,0.111111111111111
BNC2,0.0019589438256024,0.111111111111111
BRCA2,0.0019589438256024,0.111111111111111
C14orf79,0.0019589438256024,0.111111111111111
C17orf70,0.0019589438256024,0.111111111111111
C19orf26,0.0019589438256024,0.111111111111111
C1QBP,0.0019589438256024,0.111111111111111
C1QTNF9,0.0019589438256024,0.111111111111111
C1orf35,0.0019589438256024,0.111111111111111
C2CD3,0.0019589438256024,0.111111111111111
C2orf71,0.0019589438256024,0.111111111111111
C3P1,0.0019589438256024,0.111111111111111
C5orf15,0.0019589438256024,0.111111111111111
C7orf62,0.0019589438256024,0.111111111111111
CAAP1,0.0019589438256024,0.111111111111111
CABS1,0.0019589438256024,0.111111111111111
CACNA1H,0.0019589438256024,0.111111111111111
CAP2,0.0019589438256024,0.111111111111111
CAPN11,0.0019589438256024,0.111111111111111
CBLB,0.0019589438256024,0.111111111111111
CCDC127,0.0019589438256024,0.111111111111111
CCDC92,0.0019589438256024,0.111111111111111
CCNE2,0.0019589438256024,0.111111111111111
CCSAP,0.0019589438256024,0.111111111111111
CCT3,0.0019589438256024,0.111111111111111
CD14,0.0019589438256024,0.111111111111111
CD163L1,0.0019589438256024,0.111111111111111
CD74,0.0019589438256024,0.111111111111111
CDH26,0.0019589438256024,0.111111111111111
CDK20,0.0019589438256024,0.111111111111111
CDK5RAP3,0.0019589438256024,0.111111111111111
CDKN2B,0.0019589438256024,0.111111111111111
CFL2,0.0019589438256024,0.111111111111111
CHD1,0.0019589438256024,0.111111111111111
CHD5,0.0019589438256024,0.111111111111111
CHD9,0.0019589438256024,0.111111111111111
CHI3L1,0.0019589438256024,0.111111111111111
CHRNA1,0.0019589438256024,0.111111111111111
CHRNA2,0.0019589438256024,0.111111111111111
CIDECP,0.0019589438256024,0.111111111111111
CLASRP,0.0019589438256024,0.111111111111111
CLEC9A,0.0019589438256024,0.111111111111111
CLIC4,0.0019589438256024,0.111111111111111
CNPY4,0.0019589438256024,0.111111111111111
CNR1,0.0019589438256024,0.111111111111111
COG4,0.0019589438256024,0.111111111111111
COL4A5,0.0019589438256024,0.111111111111111
