Gene,p value Asian,mutation rates
ABCB5,4.91443932977982e-08,0.333333333333333
ABCB8,4.91443932977982e-08,0.333333333333333
ABCC12,4.91443932977982e-08,0.333333333333333
ABCC4,4.91443932977982e-08,0.333333333333333
ABCC6,4.91443932977982e-08,0.333333333333333
ABCG2,4.91443932977982e-08,0.333333333333333
ABI1,4.91443932977982e-08,0.333333333333333
ABL1,4.91443932977982e-08,0.333333333333333
ABRA,4.91443932977982e-08,0.333333333333333
AC003958.2,4.91443932977982e-08,0.333333333333333
AC005631.1,4.91443932977982e-08,0.333333333333333
AC008984.5,4.91443932977982e-08,0.333333333333333
AC010203.1,4.91443932977982e-08,0.333333333333333
AC073310.4,4.91443932977982e-08,0.333333333333333
ACADSB,4.91443932977982e-08,0.333333333333333
ACCSL,4.91443932977982e-08,0.333333333333333
ACE,4.91443932977982e-08,0.333333333333333
ACER2,4.91443932977982e-08,0.333333333333333
ACKR3,4.91443932977982e-08,0.333333333333333
ACPP,4.91443932977982e-08,0.333333333333333
ACRC,4.91443932977982e-08,0.333333333333333
ACSL1,4.91443932977982e-08,0.333333333333333
ACSL4,4.91443932977982e-08,0.333333333333333
ACSL5,4.91443932977982e-08,0.333333333333333
ACSM2A,4.91443932977982e-08,0.333333333333333
ACSS1,4.91443932977982e-08,0.333333333333333
ACTB,4.91443932977982e-08,0.333333333333333
ACTG1,4.91443932977982e-08,0.333333333333333
ACTL6A,4.91443932977982e-08,0.333333333333333
ACTL6B,4.91443932977982e-08,0.333333333333333
ACTR10,4.91443932977982e-08,0.333333333333333
ACTR1B,4.91443932977982e-08,0.333333333333333
ACTR8,4.91443932977982e-08,0.333333333333333
ACTRT1,4.91443932977982e-08,0.333333333333333
ADAL,4.91443932977982e-08,0.333333333333333
ADAM15,4.91443932977982e-08,0.333333333333333
ADAM18,4.91443932977982e-08,0.333333333333333
ADAM21,4.91443932977982e-08,0.333333333333333
ADAM21P1,4.91443932977982e-08,0.333333333333333
ADAM23,4.91443932977982e-08,0.333333333333333
ADAMTS1,4.91443932977982e-08,0.333333333333333
ADAMTS14,4.91443932977982e-08,0.333333333333333
ADAMTS18,4.91443932977982e-08,0.333333333333333
ADAMTS19,4.91443932977982e-08,0.333333333333333
ADAMTS20,4.91443932977982e-08,0.333333333333333
ADAMTSL3,4.91443932977982e-08,0.333333333333333
ADARB2,4.91443932977982e-08,0.333333333333333
ADCK2,4.91443932977982e-08,0.333333333333333
ADCY10,4.91443932977982e-08,0.333333333333333
ADCY7,4.91443932977982e-08,0.333333333333333
ADGRA3,4.91443932977982e-08,0.333333333333333
ADGRB1,4.91443932977982e-08,0.333333333333333
ADGRD1,4.91443932977982e-08,0.333333333333333
ADGRF1,4.91443932977982e-08,0.333333333333333
ADGRF5,4.91443932977982e-08,0.333333333333333
ADGRG2,4.91443932977982e-08,0.333333333333333
ADH1B,4.91443932977982e-08,0.333333333333333
ADH1C,4.91443932977982e-08,0.333333333333333
ADH6,4.91443932977982e-08,0.333333333333333
ADPGK,4.91443932977982e-08,0.333333333333333
ADPRH,4.91443932977982e-08,0.333333333333333
ADRA2B,4.91443932977982e-08,0.333333333333333
ADRBK1,4.91443932977982e-08,0.333333333333333
ADRBK2,4.91443932977982e-08,0.333333333333333
ADRM1,4.91443932977982e-08,0.333333333333333
AFAP1,4.91443932977982e-08,0.333333333333333
AFAP1L1,4.91443932977982e-08,0.333333333333333
AFF1,4.91443932977982e-08,0.333333333333333
AGAP1,4.91443932977982e-08,0.333333333333333
AGFG1,4.91443932977982e-08,0.333333333333333
AGGF1,4.91443932977982e-08,0.333333333333333
AGPAT9,4.91443932977982e-08,0.333333333333333
AHCYL2,4.91443932977982e-08,0.333333333333333
AHNAK2,4.91443932977982e-08,0.333333333333333
AHSA1,4.91443932977982e-08,0.333333333333333
AHSG,4.91443932977982e-08,0.333333333333333
AIFM3,4.91443932977982e-08,0.333333333333333
AIMP1,4.91443932977982e-08,0.333333333333333
AK5,4.91443932977982e-08,0.333333333333333
AKAP10,4.91443932977982e-08,0.333333333333333
AKAP12,4.91443932977982e-08,0.333333333333333
AKAP6,4.91443932977982e-08,0.333333333333333
AKNAD1,4.91443932977982e-08,0.333333333333333
AKR7L,4.91443932977982e-08,0.333333333333333
AKTIP,4.91443932977982e-08,0.333333333333333
AL354820.1,4.91443932977982e-08,0.333333333333333
ALB,4.91443932977982e-08,0.333333333333333
ALDH16A1,4.91443932977982e-08,0.333333333333333
ALDH8A1,4.91443932977982e-08,0.333333333333333
ALG10,4.91443932977982e-08,0.333333333333333
ALG10B,4.91443932977982e-08,0.333333333333333
ALG13,4.91443932977982e-08,0.333333333333333
ALG5,4.91443932977982e-08,0.333333333333333
ALG6,4.91443932977982e-08,0.333333333333333
ALLC,4.91443932977982e-08,0.333333333333333
ALMS1,4.91443932977982e-08,0.333333333333333
ALMS1P,4.91443932977982e-08,0.333333333333333
ALOX12,4.91443932977982e-08,0.333333333333333
ALOX5,4.91443932977982e-08,0.333333333333333
ALX1,4.91443932977982e-08,0.333333333333333
AMACR,4.91443932977982e-08,0.333333333333333
AMBP,4.91443932977982e-08,0.333333333333333
AMIGO2,4.91443932977982e-08,0.333333333333333
AMPD2,4.91443932977982e-08,0.333333333333333
AMPH,4.91443932977982e-08,0.333333333333333
ANAPC1,4.91443932977982e-08,0.333333333333333
ANAPC1P1,4.91443932977982e-08,0.333333333333333
ANAPC2,4.91443932977982e-08,0.333333333333333
ANAPC4,4.91443932977982e-08,0.333333333333333
ANGPT1,4.91443932977982e-08,0.333333333333333
ANGPTL1,4.91443932977982e-08,0.333333333333333
ANK2,4.91443932977982e-08,0.333333333333333
ANKDD1A,4.91443932977982e-08,0.333333333333333
ANKRD10,4.91443932977982e-08,0.333333333333333
ANKRD11,4.91443932977982e-08,0.333333333333333
ANKRD13C,4.91443932977982e-08,0.333333333333333
ANKRD20A1,4.91443932977982e-08,0.333333333333333
ANKRD20A9P,4.91443932977982e-08,0.333333333333333
ANKRD22,4.91443932977982e-08,0.333333333333333
ANKRD34A,4.91443932977982e-08,0.333333333333333
ANKRD36B,4.91443932977982e-08,0.333333333333333
ANKRD42,4.91443932977982e-08,0.333333333333333
ANKRD49,4.91443932977982e-08,0.333333333333333
ANKS1B,4.91443932977982e-08,0.333333333333333
ANLN,4.91443932977982e-08,0.333333333333333
ANO1,4.91443932977982e-08,0.333333333333333
ANP32A,4.91443932977982e-08,0.333333333333333
ANP32E,4.91443932977982e-08,0.333333333333333
AOC1,4.91443932977982e-08,0.333333333333333
AP000349.2,4.91443932977982e-08,0.333333333333333
AP3D1,4.91443932977982e-08,0.333333333333333
AP4E1,4.91443932977982e-08,0.333333333333333
APBA2,4.91443932977982e-08,0.333333333333333
APC,4.91443932977982e-08,0.333333333333333
APEX1,4.91443932977982e-08,0.333333333333333
APLNR,4.91443932977982e-08,0.333333333333333
APOD,4.91443932977982e-08,0.333333333333333
APOL5,4.91443932977982e-08,0.333333333333333
APOOL,4.91443932977982e-08,0.333333333333333
APPBP2,4.91443932977982e-08,0.333333333333333
ARAF,4.91443932977982e-08,0.333333333333333
ARAP1,4.91443932977982e-08,0.333333333333333
ARFGEF2,4.91443932977982e-08,0.333333333333333
ARG1,4.91443932977982e-08,0.333333333333333
ARHGAP24,4.91443932977982e-08,0.333333333333333
ARHGAP26,4.91443932977982e-08,0.333333333333333
ARHGAP31,4.91443932977982e-08,0.333333333333333
ARHGAP36,4.91443932977982e-08,0.333333333333333
ARHGAP6,4.91443932977982e-08,0.333333333333333
ARHGAP9,4.91443932977982e-08,0.333333333333333
ARHGEF10L,4.91443932977982e-08,0.333333333333333
ARHGEF12,4.91443932977982e-08,0.333333333333333
ARHGEF18,4.91443932977982e-08,0.333333333333333
ARHGEF28,4.91443932977982e-08,0.333333333333333
ARHGEF5,4.91443932977982e-08,0.333333333333333
ARHGEF6,4.91443932977982e-08,0.333333333333333
ARHGEF9,4.91443932977982e-08,0.333333333333333
ARID4B,4.91443932977982e-08,0.333333333333333
ARIH1,4.91443932977982e-08,0.333333333333333
ARL11,4.91443932977982e-08,0.333333333333333
ARL14,4.91443932977982e-08,0.333333333333333
ARL15,4.91443932977982e-08,0.333333333333333
ARL4A,4.91443932977982e-08,0.333333333333333
ARMC4,4.91443932977982e-08,0.333333333333333
ARMC4P1,4.91443932977982e-08,0.333333333333333
ARSB,4.91443932977982e-08,0.333333333333333
ARSG,4.91443932977982e-08,0.333333333333333
ASB11,4.91443932977982e-08,0.333333333333333
ASB16,4.91443932977982e-08,0.333333333333333
ASCC3,4.91443932977982e-08,0.333333333333333
ASCL1,4.91443932977982e-08,0.333333333333333
ASF1A,4.91443932977982e-08,0.333333333333333
ASPN,4.91443932977982e-08,0.333333333333333
ATAD2,4.91443932977982e-08,0.333333333333333
ATAD2B,4.91443932977982e-08,0.333333333333333
ATAD5,4.91443932977982e-08,0.333333333333333
