"","Gene","p value"
"218","CLCNKB","0.999999999999999"
"219","FAM131C","NaN"
"220","EPHA2","0.999999999999999"
"221","ARHGEF19","1"
"222","RSG1","NaN"
"223","FBXO42","1"
"224","SZRD1","1"
"225","SPATA21","0.965425816035986"
"226","NECAP2","1"
"227","CROCCP3","1"
"228","NBPF1","0.999999999999999"
"229","CROCCP2","0.735152093284578"
"230","MST1P2","0.729446774486572"
"231","ESPNP","1"
"232","CROCC","0.864970730776298"
"233","MST1L","1"
"234","RP11-108M9.4","NaN"
"235","MFAP2","NaN"
"236","ATP13A2","1"
"237","SDHB","1"
"238","PADI2","0.999999999999999"
"239","RP11-380J14.1","NaN"
"240","PADI1","1"
"241","PADI3","0.729446774486572"
"242","PADI4","1"
"243","PADI6","1"
"244","RCC2","0.999999999999999"
"245","ARHGEF10L","0.999999999999999"
"246","ACTL8","1"
"247","IGSF21","1"
"248","KLHDC7A","0.0648841218305601"
"249","PAX7","1"
"250","TAS1R2","1"
"251","ALDH4A1","NaN"
"252","IFFO2","1"
"253","UBR4","0.999999999999999"
"254","EMC1","0.999999999999999"
"255","MRTO4","1"
"256","AKR7L","1"
"257","AKR7A3","NaN"
"258","AKR7A2","1"
"259","PQLC2","0.999999999999999"
"260","CAPZB","1"
"261","MINOS1","NaN"
"262","NBL1","1"
"263","HTR6","NaN"
"264","TMCO4","0.367035015390571"
"265","RNF186","0.117100037169376"
"266","OTUD3","1"
"267","PLA2G2E","1"
"268","PLA2G2A","1"
"269","PLA2G5","NaN"
"270","PLA2G2D","0.117100037169376"
"271","PLA2G2F","1"
"272","PLA2G2C","1"
"273","UBXN10","1"
"274","VWA5B1","0.999999999999999"
"275","CAMK2N1","NaN"
"276","MUL1","NaN"
"277","FAM43B","1"
"278","CDA","1"
"279","PINK1","0.999999999999999"
"280","DDOST","NaN"
"281","KIF17","0.864970730776298"
"282","SH2D5","0.367035015390571"
"283","HP1BP3","0.999999999999999"
"284","EIF4G3","0.796110323709933"
"285","ECE1","0.999999999999999"
"286","NBPF2P","0.117100037169376"
"287","NBPF3","1"
"288","ALPL","1"
"289","RAP1GAP","NaN"
"290","USP48","0.999999999999999"
"291","LDLRAD2","1"
"292","HSPG2","0.547235344201652"
"293","CELA3B","0.999999999999999"
"294","CELA3A","NaN"
"295","LINC00339","NaN"
"296","CDC42","1"
"297","WNT4","1"
"298","ZBTB40","0.965425816035986"
"299","EPHA8","0.999999999999999"
"300","C1QA","1"
"301","C1QC","1"
"302","C1QB","1"
"303","EPHB2","0.999999999999999"
"304","C1orf234","NaN"
"305","KDM1A","0.999999999999999"
"306","LUZP1","0.999999999999999"
"307","HTR1D","1"
"308","HNRNPR","0.999999999999999"
"309","ZNF436","0.999999999999999"
"310","TCEA3","1"
"311","ASAP3","1"
"312","E2F2","NaN"
"313","ID3","1"
"314","MDS2","NaN"
"315","RPL11","0.117100037169376"
"316","TCEB3","0.999999999999999"
"317","PITHD1","1"
"318","LYPLA2","1"
"319","GALE","1"
"320","HMGCL","NaN"
"321","FUCA1","1"
"322","CNR2","1"
"323","PNRC2","1"
"324","SRSF10","1"
"325","MYOM3","0.735152093284578"
"326","IL22RA1","0.999999999999999"
"327","IFNLR1","1"
"328","GRHL3","0.943593186630093"
"329","STPG1","1"
"330","NIPAL3","0.999999999999999"
"331","RCAN3","1"
"332","NCMAP","1"
"333","SRRM1","0.999999999999999"
"334","CLIC4","NaN"
"335","RUNX3","NaN"
"336","SYF2","1"
"337","RHD","1"
"338","TMEM50A","1"
"339","RHCE","1"
"340","TMEM57","0.864970730776298"
"341","LDLRAP1","1"
"342","MAN1C1","1"
"343","SEPN1","NaN"
"344","MTFR1L","0.999999999999999"
"345","AUNIP","1"
"346","PAQR7","NaN"
"347","STMN1","1"
"348","PAFAH2","1"
"349","EXTL1","NaN"
"350","SLC30A2","1"
"351","TRIM63","NaN"
"352","PDIK1L","0.729446774486572"
"353","FAM110D","NaN"
"354","ZNF593","NaN"
"355","CNKSR1","0.999999999999999"
