"","Gene","p value"
"197","TMEM51-AS1","NaN"
"198","TMEM51","0.999999999999999"
"199","FHAD1","0.693254796218395"
"200","EFHD2","0.947916211311687"
"201","CTRC","1"
"202","CELA2A","NaN"
"203","CELA2B","NaN"
"204","CASP9","0.565963457300051"
"205","DNAJC16","0.421839281925926"
"206","AGMAT","NaN"
"207","DDI2","NaN"
"208","RSC1A1","0.999999999999999"
"209","PLEKHM2","0.999999999999998"
"210","SLC25A34","NaN"
"211","TMEM82","0.999999999999999"
"212","FBLIM1","1"
"213","SPEN","0.861559072241221"
"214","ZBTB17","0.202024321514139"
"215","C1orf64","NaN"
"216","HSPB7","0.947916211311687"
"217","CLCNKA","0.947916211311687"
"218","CLCNKB","0.999999999999999"
"219","FAM131C","0.421839281925926"
"220","EPHA2","1"
"221","ARHGEF19","0.421839281925926"
"222","RSG1","NaN"
"223","FBXO42","0.0477506514157767"
"224","SZRD1","0.947916211311687"
"225","SPATA21","0.999999999999999"
"226","NECAP2","1"
"227","CROCCP3","0.999999999999999"
"228","NBPF1","0.947916211311687"
"229","CROCCP2","1"
"230","MST1P2","1"
"231","ESPNP","0.947916211311687"
"232","CROCC","0.999999999999999"
"233","MST1L","0.202024321514139"
"234","RP11-108M9.4","NaN"
"235","MFAP2","1"
"236","ATP13A2","0.167300825461942"
"237","SDHB","1"
"238","PADI2","0.2942505182063"
"239","RP11-380J14.1","NaN"
"240","PADI1","0.709281690647456"
"241","PADI3","0.909648954425822"
"242","PADI4","0.421839281925926"
"243","PADI6","NaN"
"244","RCC2","1"
"245","ARHGEF10L","0.999999999999999"
"246","ACTL8","NaN"
"247","IGSF21","NaN"
"248","KLHDC7A","0.347272205391118"
"249","PAX7","0.999999999999999"
"250","TAS1R2","0.202024321514139"
"251","ALDH4A1","0.947916211311687"
"252","IFFO2","NaN"
"253","UBR4","0.693254796218395"
"254","EMC1","0.2942505182063"
"255","MRTO4","0.947916211311687"
"256","AKR7L","0.947916211311687"
"257","AKR7A3","0.947916211311687"
"258","AKR7A2","1"
"259","PQLC2","NaN"
"260","CAPZB","0.947916211311687"
"261","MINOS1","NaN"
"262","NBL1","NaN"
"263","HTR6","NaN"
"264","TMCO4","0.947916211311687"
"265","RNF186","NaN"
