"","Gene","p value"
"209","PLEKHM2","0.999999999999999"
"210","SLC25A34","1"
"211","TMEM82","NaN"
"212","FBLIM1","1"
"213","SPEN","0.664256774768584"
"214","ZBTB17","0.999999999999999"
"215","C1orf64","0.564399369723673"
"216","HSPB7","1"
"217","CLCNKA","1"
"218","CLCNKB","0.619796905061822"
"219","FAM131C","NaN"
"220","EPHA2","0.635207398605372"
"221","ARHGEF19","0.999999999999999"
"222","RSG1","1"
"223","FBXO42","0.059423871723203"
"224","SZRD1","1"
"225","SPATA21","0.564399369723673"
"226","NECAP2","0.795977208729103"
"227","CROCCP3","1"
"228","NBPF1","0.696763233280634"
"229","CROCCP2","0.896959542456879"
"230","MST1P2","1"
"231","ESPNP","0.896959542456879"
"232","CROCC","0.696763233280634"
"233","MST1L","1"
"234","RP11-108M9.4","NaN"
"235","MFAP2","1"
"236","ATP13A2","1"
"237","SDHB","1"
"238","PADI2","0.553721328121567"
"239","RP11-380J14.1","NaN"
"240","PADI1","0.696763233280634"
"241","PADI3","1"
"242","PADI4","0.787652074368929"
"243","PADI6","0.564399369723673"
"244","RCC2","1"
"245","ARHGEF10L","0.542278588762034"
"246","ACTL8","1"
"247","IGSF21","0.999999999999999"
"248","KLHDC7A","0.553721328121567"
"249","PAX7","1"
"250","TAS1R2","0.787652074368929"
"251","ALDH4A1","0.968240573759451"
"252","IFFO2","NaN"
"253","UBR4","0.997152577099894"
"254","EMC1","0.896959542456879"
"255","MRTO4","1"
"256","AKR7L","1"
"257","AKR7A3","1"
"258","AKR7A2","1"
"259","PQLC2","0.999999999999999"
"260","CAPZB","1"
"261","MINOS1","1"
"262","NBL1","NaN"
"263","HTR6","0.315538136303175"
"264","TMCO4","0.206544330749654"
"265","RNF186","1"
"266","OTUD3","1"
"267","PLA2G2E","0.968240573759451"
"268","PLA2G2A","1"
"269","PLA2G5","1"
"270","PLA2G2D","1"
"271","PLA2G2F","0.237502887352591"
"272","PLA2G2C","0.237502887352591"
"273","UBXN10","NaN"
"274","VWA5B1","NaN"
"275","CAMK2N1","NaN"
"276","MUL1","1"
"277","FAM43B","1"
"278","CDA","1"
"279","PINK1","0.564399369723673"
"280","DDOST","1"
"281","KIF17","0.44623957043391"
"282","SH2D5","0.968240573759451"
"283","HP1BP3","0.00791316096452872"
"284","EIF4G3","0.999999999999999"
"285","ECE1","0.619796905061822"
"286","NBPF2P","1"
"287","NBPF3","1"
"288","ALPL","0.999999999999999"
"289","RAP1GAP","1"
"290","USP48","0.999999999999999"
"291","LDLRAD2","0.999999999999999"
"292","HSPG2","0.82111597253124"
"293","CELA3B","1"
"294","CELA3A","0.564399369723673"
"295","LINC00339","NaN"
"296","CDC42","1"
"297","WNT4","1"
"298","ZBTB40","0.651607887986841"
"299","EPHA8","0.496393401519587"
"300","C1QA","1"
"301","C1QC","NaN"
"302","C1QB","NaN"
"303","EPHB2","0.619796905061822"
"304","C1orf234","NaN"
"305","KDM1A","0.696763233280634"
"306","LUZP1","0.696763233280634"
"307","HTR1D","0.896959542456879"
"308","HNRNPR","0.999999999999999"
"309","ZNF436","0.402068144790699"
"310","TCEA3","0.896959542456879"
"311","ASAP3","0.999999999999999"
"312","E2F2","1"
"313","ID3","0.795977208729103"
"314","MDS2","1"
"315","RPL11","1"
"316","TCEB3","1"
"317","PITHD1","0.999999999999999"
"318","LYPLA2","0.896959542456879"
"319","GALE","1"
"320","HMGCL","1"
"321","FUCA1","1"
"322","CNR2","0.787652074368929"
"323","PNRC2","1"
"324","SRSF10","1"
"325","MYOM3","1"
"326","IL22RA1","1"
"327","IFNLR1","0.564399369723673"
"328","GRHL3","1"
"329","STPG1","1"
"330","NIPAL3","0.968240573759451"
"331","RCAN3","0.237502887352591"
"332","NCMAP","1"
"333","SRRM1","0.896959542456879"
"334","CLIC4","1"
"335","RUNX3","1"
"336","SYF2","1"
"337","RHD","1"
"338","TMEM50A","1"
"339","RHCE","0.787652074368929"
"340","TMEM57","0.896959542456879"
"341","LDLRAP1","0.999999999999999"
"342","MAN1C1","1"
"343","SEPN1","1"
"344","MTFR1L","0.896959542456879"
"345","AUNIP","1"
"346","PAQR7","1"
"347","STMN1","NaN"
"348","PAFAH2","0.896959542456879"
"349","EXTL1","0.999999999999999"
"350","SLC30A2","1"
"351","TRIM63","1"
"352","PDIK1L","0.896959542456879"
"353","FAM110D","NaN"
"354","ZNF593","1"
"355","CNKSR1","1"
"356","CATSPER4","1"
"357","RP11-231P20.2","NaN"
"358","CEP85","0.896959542456879"
"359","SH3BGRL3","NaN"
"360","UBXN11","0.787652074368929"
"361","CD52","1"
"362","AIM1L","0.619796905061822"
"363","ZNF683","0.968240573759451"
"364","LIN28A","1"
"365","DHDDS","1"
"366","HMGN2","1"
"367","RPS6KA1","0.896959542456879"
"368","ARID1A","0.0104834979681634"
"369","PIGV","0.315538136303175"
"370","ZDHHC18","1"
"371","SFN","0.999999999999999"
"372","GPN2","0.999999999999999"
"373","GPATCH3","0.896959542456879"
"374","NUDC","0.896959542456879"
"375","NR0B2","1"
"376","TRNP1","NaN"
"377","FAM46B","0.896959542456879"
"378","SLC9A1","1"
"379","WDTC1","0.999999999999999"
"380","TMEM222","NaN"
"381","SYTL1","1"
"382","MAP3K6","0.553721328121567"
"383","FCN3","0.896959542456879"
"384","CD164L2","1"
"385","GPR3","NaN"
"386","WASF2","0.696763233280634"
"387","AHDC1","0.896959542456879"
"388","FGR","0.787652074368929"
"389","IFI6","NaN"
"390","FAM76A","0.787652074368929"
"391","STX12","1"
"392","PPP1R8","1"
"393","THEMIS2","1"
"394","RPA2","1"
"395","SMPDL3B","0.896959542456879"
"396","XKR8","1"
"397","EYA3","0.619796905061822"
"398","SPCS2P4","NaN"
"399","RP5-1053E7.3","NaN"
"400","PTAFR","1"
"401","DNAJC8","1"
"402","ATPIF1","0.564399369723673"
"403","SESN2","1"
"404","MED18","NaN"
"405","PHACTR4","0.896959542456879"
"406","RCC1","1"
"407","SNORA73B","NaN"
"408","TRNAU1AP","0.496393401519587"
"409","TAF12","1"
"410","RAB42","1"
"411","RNU11","NaN"
"412","GMEB1","1"
"413","YTHDF2","0.496393401519587"
"414","OPRD1","1"
"415","EPB41","0.999999999999999"
"416","TMEM200B","NaN"
"417","SRSF4","0.999999999999999"
"418","MECR","0.896959542456879"
"419","PTPRU","0.553721328121567"
"420","AC092265.1","NaN"
"421","MATN1","0.896959542456879"
"422","LAPTM5","1"
"423","SDC3","0.896959542456879"
"424","PUM1","0.269270883044081"
"425","NKAIN1","0.237502887352591"
"426","SNRNP40","0.00561789177957814"
"427","ZCCHC17","NaN"
"428","FABP3","NaN"
"429","SERINC2","0.564399369723673"
"430","AC114494.1","NaN"
"431","TINAGL1","0.999999999999999"
"432","HCRTR1","1"
"433","PEF1","1"
"434","COL16A1","0.970896248685848"
"435","SPOCD1","0.315538136303175"
"436","PTP4A2","0.795977208729103"
"437","KHDRBS1","0.496393401519587"
"438","TMEM39B","0.999999999999999"
"439","KPNA6","1"
"440","TXLNA","0.896959542456879"
"441","CCDC28B","1"
"442","IQCC","0.553721328121567"
"443","DCDC2B","1"
"444","TMEM234","1"
"445","EIF3I","1"
"446","MTMR9LP","NaN"
"447","FAM167B","1"
"448","LCK","0.795977208729103"
"449","HDAC1","0.896959542456879"
"450","MARCKSL1","NaN"
"451","TSSK3","1"
"452","FAM229A","NaN"
"453","BSDC1","0.999999999999999"
"454","ZBTB8B","NaN"
"455","ZBTB8A","0.999999999999999"
"456","ZBTB8OS","1"
"457","RBBP4","0.896959542456879"
"458","SYNC","NaN"
"459","KIAA1522","0.71022293007891"
"460","YARS","0.896959542456879"
"461","S100PBP","1"
"462","FNDC5","1"
"463","HPCA","NaN"
"464","TMEM54","0.999999999999999"
"465","RNF19B","1"
"466","RP1-117O3.2","NaN"
"467","AK2","NaN"
"468","TRIM62","1"
"469","ZNF362","1"
"470","A3GALT2","1"
"471","PHC2","0.896959542456879"
"472","ZSCAN20","0.553721328121567"
"473","CSMD2","0.57416789862991"
"474","HMGB4","1"
"475","C1orf94","0.999999999999999"
"476","SMIM12","NaN"
"477","GJB5","0.968240573759451"
"478","GJB4","NaN"
"479","GJB3","0.795977208729103"
"480","GJA4","1"
"481","DLGAP3","0.553721328121567"
"482","RP11-244H3.1","NaN"
"483","ZMYM6","1"
"484","ZMYM6NB","NaN"
"485","ZMYM1","0.696763233280634"
"486","SFPQ","1"
"487","ZMYM4","1"
"488","KIAA0319L","0.328160178574887"
"489","NCDN","0.795977208729103"
"490","TFAP2E","1"
"491","PSMB2","1"
"492","C1orf216","1"
"493","CLSPN","0.402068144790699"
"494","AGO4","0.896959542456879"
"495","AGO1","1"
"496","AGO3","0.553721328121567"
"497","TEKT2","1"
"498","ADPRHL2","1"
"499","COL8A2","1"
"500","TRAPPC3","1"
"501","MAP7D1","1"
"502","THRAP3","0.297095094217928"
"503","SH3D21","1"
"504","EVA1B","1"
"505","STK40","1"
"506","LSM10","1"
"507","OSCP1","0.968240573759451"
"508","MRPS15","1"
"509","CSF3R","0.896959542456879"
"510","GRIK3","0.970896248685848"
"511","MIR4255","NaN"
"512","ZC3H12A","0.696763233280634"
"513","MEAF6","1"
"514","SNIP1","1"
"515","DNALI1","0.237502887352591"
"516","GNL2","0.787652074368929"
"517","RSPO1","1"
"518","C1orf109","1"
"519","CDCA8","1"
"520","EPHA10","1"
"521","MANEAL","1"
"522","YRDC","1"
"523","C1orf122","NaN"
"524","MTF1","0.696763233280634"
"525","INPP5B","0.795977208729103"
"526","SF3A3","0.787652074368929"
"527","FHL3","1"
"528","UTP11L","1"
"529","POU3F1","1"
"530","RP11-334L9.1","NaN"
"531","RRAGC","1"
"532","MYCBP","1"
"533","GJA9","1"
"534","RHBDL2","1"
"535","AKIRIN1","1"
"536","NDUFS5","NaN"
"537","MACF1","0.0788769267421283"
"538","BMP8A","1"
"539","PPIEL","NaN"
"540","PABPC4","0.651607887986841"
"541","HEYL","1"
"542","NT5C1A","0.896959542456879"
"543","HPCAL4","1"
"544","PPIE","0.999999999999999"
"545","BMP8B","1"
