"","Gene","p value"
"194","PDPN","NaN"
"195","PRDM2","1"
"196","KAZN","0.999999999999999"
"197","TMEM51-AS1","NaN"
"198","TMEM51","0.999999999999999"
"199","FHAD1","0.920018291724642"
"200","EFHD2","NaN"
"201","CTRC","0.999999999999999"
"202","CELA2A","NaN"
"203","CELA2B","NaN"
"204","CASP9","0.587764143945565"
"205","DNAJC16","NaN"
"206","AGMAT","NaN"
"207","DDI2","NaN"
"208","RSC1A1","0.999999999999999"
"209","PLEKHM2","0.999999999999999"
"210","SLC25A34","NaN"
"211","TMEM82","0.999999999999999"
"212","FBLIM1","0.999999999999999"
"213","SPEN","1"
"214","ZBTB17","NaN"
"215","C1orf64","NaN"
"216","HSPB7","NaN"
"217","CLCNKA","NaN"
"218","CLCNKB","0.999999999999999"
"219","FAM131C","NaN"
"220","EPHA2","1"
"221","ARHGEF19","NaN"
"222","RSG1","NaN"
"223","FBXO42","0.999999999999999"
"224","SZRD1","NaN"
"225","SPATA21","0.999999999999999"
"226","NECAP2","0.999999999999999"
"227","CROCCP3","0.999999999999999"
"228","NBPF1","NaN"
"229","CROCCP2","1"
"230","MST1P2","0.999999999999999"
"231","ESPNP","NaN"
"232","CROCC","0.999999999999999"
"233","MST1L","NaN"
"234","RP11-108M9.4","NaN"
"235","MFAP2","0.999999999999999"
"236","ATP13A2","0.999999999999999"
"237","SDHB","0.999999999999999"
"238","PADI2","1"
"239","RP11-380J14.1","NaN"
"240","PADI1","1"
"241","PADI3","0.999999999999999"
"242","PADI4","0.125548922283896"
"243","PADI6","NaN"
"244","RCC2","0.999999999999999"
"245","ARHGEF10L","0.999999999999999"
"246","ACTL8","NaN"
"247","IGSF21","NaN"
"248","KLHDC7A","0.999999999999999"
"249","PAX7","0.999999999999999"
"250","TAS1R2","NaN"
"251","ALDH4A1","NaN"
"252","IFFO2","NaN"
"253","UBR4","0.920018291724642"
"254","EMC1","0.748923574736479"
"255","MRTO4","NaN"
"256","AKR7L","NaN"
"257","AKR7A3","NaN"
"258","AKR7A2","0.999999999999999"
"259","PQLC2","NaN"
"260","CAPZB","NaN"
