"","Gene","p value"
"185","PRAMEF8","NaN"
"186","RP11-219C24.6","0.999999999999999"
"187","PRAMEF18","NaN"
"188","PRAMEF15","NaN"
"189","PRAMEF14","NaN"
"190","PRAMEF19","NaN"
"191","PRAMEF17","NaN"
"192","PRAMEF20","NaN"
"193","LRRC38","NaN"
"194","PDPN","NaN"
"195","PRDM2","NaN"
"196","KAZN","NaN"
"197","TMEM51-AS1","NaN"
"198","TMEM51","NaN"
"199","FHAD1","NaN"
"200","EFHD2","NaN"
"201","CTRC","NaN"
"202","CELA2A","NaN"
"203","CELA2B","NaN"
"204","CASP9","NaN"
"205","DNAJC16","0.999999999999999"
"206","AGMAT","NaN"
"207","DDI2","NaN"
"208","RSC1A1","NaN"
"209","PLEKHM2","0.999999999999999"
"210","SLC25A34","NaN"
"211","TMEM82","NaN"
"212","FBLIM1","NaN"
"213","SPEN","1"
"214","ZBTB17","NaN"
"215","C1orf64","NaN"
"216","HSPB7","NaN"
"217","CLCNKA","NaN"
"218","CLCNKB","NaN"
"219","FAM131C","NaN"
"220","EPHA2","NaN"
"221","ARHGEF19","NaN"
"222","RSG1","NaN"
"223","FBXO42","NaN"
"224","SZRD1","NaN"
"225","SPATA21","NaN"
"226","NECAP2","NaN"
"227","CROCCP3","NaN"
"228","NBPF1","0.999999999999998"
"229","CROCCP2","0.105266754692227"
"230","MST1P2","NaN"
"231","ESPNP","NaN"
"232","CROCC","NaN"
"233","MST1L","NaN"
"234","RP11-108M9.4","NaN"
"235","MFAP2","NaN"
"236","ATP13A2","NaN"
"237","SDHB","NaN"
"238","PADI2","NaN"
"239","RP11-380J14.1","NaN"
"240","PADI1","NaN"
"241","PADI3","NaN"
"242","PADI4","NaN"
"243","PADI6","NaN"
"244","RCC2","0.999999999999999"
"245","ARHGEF10L","0.999999999999999"
"246","ACTL8","NaN"
"247","IGSF21","NaN"
"248","KLHDC7A","NaN"
"249","PAX7","NaN"
"250","TAS1R2","0.999999999999999"
"251","ALDH4A1","NaN"
"252","IFFO2","NaN"
"253","UBR4","0.542934412526293"
"254","EMC1","NaN"
"255","MRTO4","NaN"
"256","AKR7L","NaN"
"257","AKR7A3","NaN"
"258","AKR7A2","NaN"
"259","PQLC2","NaN"
"260","CAPZB","NaN"
"261","MINOS1","NaN"
"262","NBL1","NaN"
"263","HTR6","NaN"
"264","TMCO4","NaN"
"265","RNF186","NaN"
"266","OTUD3","NaN"
"267","PLA2G2E","NaN"
"268","PLA2G2A","0.999999999999999"
"269","PLA2G5","0.999999999999999"
"270","PLA2G2D","0.999999999999999"
"271","PLA2G2F","NaN"
"272","PLA2G2C","NaN"
"273","UBXN10","0.999999999999999"
"274","VWA5B1","NaN"
"275","CAMK2N1","NaN"
"276","MUL1","NaN"
"277","FAM43B","NaN"
"278","CDA","NaN"
"279","PINK1","NaN"
"280","DDOST","NaN"
"281","KIF17","NaN"
"282","SH2D5","NaN"
"283","HP1BP3","0.999999999999999"
"284","EIF4G3","NaN"
"285","ECE1","NaN"
"286","NBPF2P","NaN"
"287","NBPF3","NaN"
"288","ALPL","NaN"
"289","RAP1GAP","NaN"
"290","USP48","NaN"
"291","LDLRAD2","NaN"
"292","HSPG2","0.999999999999999"
"293","CELA3B","NaN"
"294","CELA3A","NaN"
"295","LINC00339","NaN"
"296","CDC42","NaN"
"297","WNT4","NaN"
"298","ZBTB40","0.999999999999999"
"299","EPHA8","NaN"
"300","C1QA","NaN"
"301","C1QC","NaN"
"302","C1QB","NaN"
"303","EPHB2","NaN"
"304","C1orf234","NaN"
"305","KDM1A","NaN"
"306","LUZP1","NaN"
