"","Gene","p value"
"196","KAZN","NaN"
"197","TMEM51-AS1","NaN"
"198","TMEM51","NaN"
"199","FHAD1","NaN"
"200","EFHD2","0.999999999999999"
"201","CTRC","NaN"
"202","CELA2A","0.999999999999999"
"203","CELA2B","NaN"
"204","CASP9","0.999999999999999"
"205","DNAJC16","0.999999999999999"
"206","AGMAT","NaN"
"207","DDI2","NaN"
"208","RSC1A1","0.999999999999999"
"209","PLEKHM2","NaN"
"210","SLC25A34","NaN"
"211","TMEM82","NaN"
"212","FBLIM1","0.999999999999999"
"213","SPEN","0.999999999999998"
"214","ZBTB17","0.999999999999999"
"215","C1orf64","NaN"
"216","HSPB7","NaN"
"217","CLCNKA","0.587653612099755"
"218","CLCNKB","0.999999999999999"
"219","FAM131C","NaN"
"220","EPHA2","0.821697485292889"
"221","ARHGEF19","0.999999999999999"
"222","RSG1","NaN"
"223","FBXO42","0.999999999999999"
"224","SZRD1","NaN"
"225","SPATA21","NaN"
"226","NECAP2","NaN"
"227","CROCCP3","NaN"
"228","NBPF1","0.587653612099755"
"229","CROCCP2","0.587653612099755"
"230","MST1P2","NaN"
"231","ESPNP","NaN"
"232","CROCC","0.870299004726087"
"233","MST1L","NaN"
"234","RP11-108M9.4","NaN"
"235","MFAP2","NaN"
"236","ATP13A2","0.999999999999999"
"237","SDHB","0.999999999999999"
"238","PADI2","NaN"
"239","RP11-380J14.1","NaN"
"240","PADI1","0.587653612099755"
"241","PADI3","0.999999999999999"
"242","PADI4","0.587653612099755"
"243","PADI6","0.999999999999999"
"244","RCC2","NaN"
"245","ARHGEF10L","1"
"246","ACTL8","NaN"
"247","IGSF21","0.999999999999999"
"248","KLHDC7A","0.999999999999999"
"249","PAX7","NaN"
"250","TAS1R2","1"
"251","ALDH4A1","0.999999999999999"
"252","IFFO2","NaN"
"253","UBR4","0.76131359099391"
"254","EMC1","0.999999999999999"
"255","MRTO4","0.253229831026593"
"256","AKR7L","NaN"
"257","AKR7A3","NaN"
"258","AKR7A2","0.999999999999999"
"259","PQLC2","0.999999999999999"
"260","CAPZB","NaN"
"261","MINOS1","NaN"
"262","NBL1","0.999999999999999"
"263","HTR6","0.999999999999999"
"264","TMCO4","0.999999999999999"
"265","RNF186","0.999999999999999"
"266","OTUD3","0.999999999999999"
"267","PLA2G2E","NaN"
"268","PLA2G2A","0.999999999999999"
"269","PLA2G5","0.999999999999999"
"270","PLA2G2D","NaN"
"271","PLA2G2F","NaN"
"272","PLA2G2C","NaN"
"273","UBXN10","0.999999999999999"
"274","VWA5B1","NaN"
"275","CAMK2N1","NaN"
"276","MUL1","NaN"
"277","FAM43B","NaN"
"278","CDA","NaN"
"279","PINK1","NaN"
"280","DDOST","NaN"
"281","KIF17","0.999999999999999"
"282","SH2D5","NaN"
"283","HP1BP3","0.999999999999999"
"284","EIF4G3","0.870299004726087"
"285","ECE1","0.999999999999999"
"286","NBPF2P","NaN"
"287","NBPF3","0.999999999999999"
"288","ALPL","NaN"
"289","RAP1GAP","0.999999999999999"
"290","USP48","0.999999999999999"
"291","LDLRAD2","0.999999999999999"
"292","HSPG2","0.345556557532548"
"293","CELA3B","0.999999999999999"
"294","CELA3A","0.999999999999999"
"295","LINC00339","NaN"
"296","CDC42","NaN"
"297","WNT4","0.999999999999999"
"298","ZBTB40","NaN"
"299","EPHA8","0.999999999999999"
"300","C1QA","NaN"
"301","C1QC","NaN"
"302","C1QB","0.999999999999999"
"303","EPHB2","1"
"304","C1orf234","NaN"
"305","KDM1A","0.587653612099755"
"306","LUZP1","0.999999999999999"
"307","HTR1D","0.587653612099755"
"308","HNRNPR","0.999999999999999"
"309","ZNF436","0.999999999999999"
"310","TCEA3","0.999999999999999"
"311","ASAP3","NaN"
"312","E2F2","NaN"
"313","ID3","NaN"
"314","MDS2","NaN"
"315","RPL11","0.999999999999999"
"316","TCEB3","0.999999999999999"
"317","PITHD1","NaN"
"318","LYPLA2","0.999999999999999"
"319","GALE","0.999999999999999"
"320","HMGCL","0.999999999999999"
"321","FUCA1","0.999999999999999"
"322","CNR2","0.999999999999999"
"323","PNRC2","NaN"
"324","SRSF10","NaN"
"325","MYOM3","0.999999999999999"
