"","Gene","p value"
"208","RSC1A1","0.999999999999999"
"209","PLEKHM2","0.999999999999999"
"210","SLC25A34","NaN"
"211","TMEM82","0.999999999999999"
"212","FBLIM1","NaN"
"213","SPEN","0.475851525553097"
"214","ZBTB17","NaN"
"215","C1orf64","NaN"
"216","HSPB7","NaN"
"217","CLCNKA","0.999999999999999"
"218","CLCNKB","NaN"
"219","FAM131C","NaN"
"220","EPHA2","NaN"
"221","ARHGEF19","NaN"
"222","RSG1","NaN"
"223","FBXO42","1"
"224","SZRD1","NaN"
"225","SPATA21","NaN"
"226","NECAP2","NaN"
"227","CROCCP3","NaN"
"228","NBPF1","NaN"
"229","CROCCP2","0.999999999999999"
"230","MST1P2","0.999999999999999"
"231","ESPNP","NaN"
"232","CROCC","0.999999999999999"
"233","MST1L","0.999999999999999"
"234","RP11-108M9.4","NaN"
"235","MFAP2","0.999999999999999"
"236","ATP13A2","NaN"
"237","SDHB","NaN"
"238","PADI2","NaN"
"239","RP11-380J14.1","NaN"
"240","PADI1","NaN"
"241","PADI3","1"
"242","PADI4","NaN"
"243","PADI6","1"
"244","RCC2","0.999999999999999"
"245","ARHGEF10L","NaN"
"246","ACTL8","0.999999999999999"
"247","IGSF21","NaN"
"248","KLHDC7A","NaN"
"249","PAX7","NaN"
"250","TAS1R2","1"
"251","ALDH4A1","NaN"
"252","IFFO2","NaN"
"253","UBR4","0.999999999999998"
"254","EMC1","0.999999999999999"
"255","MRTO4","NaN"
"256","AKR7L","NaN"
"257","AKR7A3","NaN"
"258","AKR7A2","NaN"
"259","PQLC2","NaN"
"260","CAPZB","NaN"
"261","MINOS1","NaN"
"262","NBL1","NaN"
"263","HTR6","NaN"
"264","TMCO4","0.999999999999999"
"265","RNF186","NaN"
"266","OTUD3","0.999999999999999"
"267","PLA2G2E","NaN"
"268","PLA2G2A","NaN"
"269","PLA2G5","NaN"
"270","PLA2G2D","NaN"
"271","PLA2G2F","NaN"
"272","PLA2G2C","NaN"
"273","UBXN10","0.999999999999999"
"274","VWA5B1","NaN"
"275","CAMK2N1","NaN"
"276","MUL1","0.999999999999999"
"277","FAM43B","NaN"
"278","CDA","NaN"
"279","PINK1","0.999999999999999"
"280","DDOST","NaN"
"281","KIF17","0.999999999999999"
"282","SH2D5","NaN"
"283","HP1BP3","0.999999999999999"
"284","EIF4G3","0.999999999999998"
"285","ECE1","NaN"
"286","NBPF2P","NaN"
"287","NBPF3","NaN"
"288","ALPL","0.999999999999999"
"289","RAP1GAP","NaN"
"290","USP48","1"
"291","LDLRAD2","0.999999999999999"
"292","HSPG2","0.999999999999998"
"293","CELA3B","1"
"294","CELA3A","0.999999999999999"
"295","LINC00339","NaN"
"296","CDC42","NaN"
"297","WNT4","NaN"
"298","ZBTB40","1"
"299","EPHA8","0.0820903202161421"
"300","C1QA","NaN"
"301","C1QC","NaN"
"302","C1QB","NaN"
"303","EPHB2","0.999999999999999"
"304","C1orf234","NaN"
"305","KDM1A","NaN"
"306","LUZP1","0.999999999999999"
"307","HTR1D","NaN"
"308","HNRNPR","NaN"
"309","ZNF436","0.999999999999999"
"310","TCEA3","NaN"
"311","ASAP3","NaN"
"312","E2F2","NaN"
"313","ID3","NaN"
"314","MDS2","NaN"
"315","RPL11","0.999999999999999"
"316","TCEB3","NaN"
"317","PITHD1","0.999999999999999"
"318","LYPLA2","NaN"
"319","GALE","0.999999999999999"
"320","HMGCL","NaN"
"321","FUCA1","NaN"
"322","CNR2","0.999999999999998"
"323","PNRC2","0.999999999999999"
"324","SRSF10","NaN"
"325","MYOM3","1"
"326","IL22RA1","0.999999999999999"
"327","IFNLR1","0.999999999999999"
"328","GRHL3","NaN"
"329","STPG1","NaN"
"330","NIPAL3","0.999999999999999"
"331","RCAN3","NaN"
"332","NCMAP","NaN"
"333","SRRM1","NaN"
"334","CLIC4","NaN"
"335","RUNX3","NaN"
"336","SYF2","0.999999999999999"
"337","RHD","0.999999999999999"
"338","TMEM50A","NaN"
"339","RHCE","0.999999999999999"
"340","TMEM57","0.999999999999999"
"341","LDLRAP1","0.999999999999999"
"342","MAN1C1","NaN"
"343","SEPN1","NaN"
"344","MTFR1L","0.999999999999999"
"345","AUNIP","0.999999999999999"
"346","PAQR7","NaN"
"347","STMN1","0.999999999999999"
"348","PAFAH2","0.999999999999998"
"349","EXTL1","0.999999999999999"
"350","SLC30A2","0.999999999999999"
"351","TRIM63","NaN"
"352","PDIK1L","NaN"
"353","FAM110D","NaN"
"354","ZNF593","NaN"
"355","CNKSR1","NaN"
"356","CATSPER4","0.999999999999999"
"357","RP11-231P20.2","NaN"
"358","CEP85","NaN"
"359","SH3BGRL3","NaN"
"360","UBXN11","1"
"361","CD52","NaN"
"362","AIM1L","1"
"363","ZNF683","NaN"
"364","LIN28A","NaN"
"365","DHDDS","NaN"
"366","HMGN2","1"
"367","RPS6KA1","0.999999999999998"
"368","ARID1A","0.999999999999999"
"369","PIGV","0.999999999999999"
"370","ZDHHC18","0.999999999999998"
"371","SFN","NaN"
"372","GPN2","0.999999999999999"
"373","GPATCH3","0.999999999999999"
"374","NUDC","NaN"
"375","NR0B2","NaN"
"376","TRNP1","NaN"
"377","FAM46B","NaN"
"378","SLC9A1","1"
"379","WDTC1","0.999999999999999"
"380","TMEM222","0.999999999999999"
"381","SYTL1","NaN"
"382","MAP3K6","1"
"383","FCN3","0.999999999999999"
"384","CD164L2","0.999999999999999"
"385","GPR3","NaN"
"386","WASF2","0.999999999999998"
"387","AHDC1","1"
"388","FGR","NaN"
"389","IFI6","NaN"
"390","FAM76A","1"
"391","STX12","NaN"
"392","PPP1R8","NaN"
"393","THEMIS2","NaN"
"394","RPA2","NaN"
"395","SMPDL3B","NaN"
"396","XKR8","NaN"
"397","EYA3","NaN"
"398","SPCS2P4","NaN"
"399","RP5-1053E7.3","NaN"
"400","PTAFR","NaN"
"401","DNAJC8","NaN"
"402","ATPIF1","NaN"
"403","SESN2","0.999999999999999"
"404","MED18","0.999999999999999"
"405","PHACTR4","1"
"406","RCC1","0.999999999999999"
"407","SNORA73B","NaN"
"408","TRNAU1AP","NaN"
"409","TAF12","NaN"
"410","RAB42","NaN"
"411","RNU11","NaN"
"412","GMEB1","NaN"
"413","YTHDF2","0.999999999999999"
"414","OPRD1","1"
"415","EPB41","NaN"
"416","TMEM200B","NaN"
"417","SRSF4","1"
"418","MECR","NaN"
"419","PTPRU","1"
"420","AC092265.1","NaN"
"421","MATN1","0.999999999999999"
"422","LAPTM5","NaN"
"423","SDC3","0.999999999999999"
"424","PUM1","0.999999999999999"
"425","NKAIN1","0.999999999999999"
"426","SNRNP40","0.999999999999999"
"427","ZCCHC17","1"
"428","FABP3","NaN"
"429","SERINC2","0.999999999999999"
"430","AC114494.1","NaN"
"431","TINAGL1","1"
"432","HCRTR1","0.999999999999999"
"433","PEF1","NaN"
"434","COL16A1","1"
"435","SPOCD1","0.999999999999999"
"436","PTP4A2","0.999999999999999"
"437","KHDRBS1","0.999999999999999"
"438","TMEM39B","NaN"
"439","KPNA6","0.999999999999999"
"440","TXLNA","1"
"441","CCDC28B","NaN"
"442","IQCC","NaN"
"443","DCDC2B","0.999999999999999"
"444","TMEM234","0.999999999999999"
"445","EIF3I","1"
"446","MTMR9LP","NaN"
"447","FAM167B","NaN"
"448","LCK","NaN"
"449","HDAC1","0.999999999999999"
"450","MARCKSL1","NaN"
"451","TSSK3","NaN"
"452","FAM229A","NaN"
"453","BSDC1","0.999999999999999"
"454","ZBTB8B","NaN"
"455","ZBTB8A","0.999999999999999"
"456","ZBTB8OS","0.999999999999999"
"457","RBBP4","1"
"458","SYNC","1"
"459","KIAA1522","1"
"460","YARS","0.999999999999999"
"461","S100PBP","NaN"
"462","FNDC5","NaN"
"463","HPCA","NaN"
"464","TMEM54","0.999999999999999"
"465","RNF19B","1"
"466","RP1-117O3.2","NaN"
"467","AK2","0.999999999999999"
"468","TRIM62","1"
"469","ZNF362","NaN"
"470","A3GALT2","NaN"
"471","PHC2","1"
"472","ZSCAN20","0.999999999999999"
"473","CSMD2","0.999999999999998"
"474","HMGB4","0.999999999999999"
"475","C1orf94","0.999999999999998"
"476","SMIM12","0.999999999999999"
"477","GJB5","NaN"
"478","GJB4","NaN"
"479","GJB3","0.999999999999999"
"480","GJA4","NaN"
"481","DLGAP3","0.999999999999999"
"482","RP11-244H3.1","NaN"
"483","ZMYM6","0.999999999999999"
"484","ZMYM6NB","NaN"
"485","ZMYM1","1"
"486","SFPQ","NaN"
"487","ZMYM4","1"
"488","KIAA0319L","0.999999999999998"
"489","NCDN","0.999999999999999"
"490","TFAP2E","NaN"
"491","PSMB2","NaN"
"492","C1orf216","NaN"
"493","CLSPN","1"
"494","AGO4","1"
"495","AGO1","NaN"
"496","AGO3","0.999999999999998"
"497","TEKT2","0.999999999999999"
"498","ADPRHL2","NaN"
"499","COL8A2","1"
"500","TRAPPC3","NaN"
"501","MAP7D1","NaN"
"502","THRAP3","1"
"503","SH3D21","NaN"
"504","EVA1B","NaN"
"505","STK40","NaN"
"506","LSM10","NaN"
"507","OSCP1","NaN"
"508","MRPS15","0.999999999999999"
"509","CSF3R","1"
"510","GRIK3","1"
"511","MIR4255","NaN"
"512","ZC3H12A","0.0256821728152235"
"513","MEAF6","NaN"
"514","SNIP1","NaN"
"515","DNALI1","0.999999999999999"
"516","GNL2","NaN"
"517","RSPO1","0.999999999999999"
"518","C1orf109","NaN"
"519","CDCA8","0.999999999999999"
"520","EPHA10","0.999999999999999"
"521","MANEAL","0.999999999999999"
"522","YRDC","NaN"
"523","C1orf122","0.999999999999999"
"524","MTF1","1"
"525","INPP5B","0.999999999999998"
"526","SF3A3","1"
"527","FHL3","NaN"
"528","UTP11L","NaN"
"529","POU3F1","NaN"
"530","RP11-334L9.1","NaN"
"531","RRAGC","1"
"532","MYCBP","NaN"
"533","GJA9","0.999999999999999"
"534","RHBDL2","0.999999999999999"
"535","AKIRIN1","0.999999999999999"
"536","NDUFS5","0.999999999999999"
"537","MACF1","0.999999999999999"
"538","BMP8A","0.999999999999999"
"539","PPIEL","NaN"
"540","PABPC4","NaN"
"541","HEYL","NaN"
"542","NT5C1A","NaN"
"543","HPCAL4","NaN"
"544","PPIE","0.999999999999999"
"545","BMP8B","0.999999999999999"
"546","OXCT2","NaN"
"547","TRIT1","0.999999999999999"
"548","MYCL","1"
"549","MFSD2A","NaN"
"550","CAP1","NaN"
"551","PPT1","NaN"
"552","RLF","0.999999999999998"
"553","TMCO2","NaN"
"554","ZMPSTE24","0.999999999999999"
"555","COL9A2","NaN"
"556","SMAP2","NaN"
"557","ZFP69B","NaN"
"558","ZFP69","NaN"
"559","EXO5","0.999999999999999"
"560","ZNF684","0.999999999999999"
"561","RIMS3","NaN"
"562","NFYC","0.999999999999999"
"563","KCNQ4","NaN"
"564","CITED4","NaN"
"565","CTPS1","1"
"566","SLFNL1","NaN"
"567","SCMH1","1"
"568","EDN2","NaN"
"569","HIVEP3","1"
"570","GUCA2B","NaN"
"571","GUCA2A","0.999999999999999"
"572","FOXJ3","1"
"573","RIMKLA","1"
"574","ZMYND12","NaN"
"575","PPCS","NaN"
"576","CCDC30","0.999999999999999"
"577","RP11-163G10.2","NaN"
"578","PPIH","NaN"
"579","YBX1","NaN"
"580","CLDN19","NaN"
"581","C1orf50","NaN"
"582","CCDC23","NaN"
"583","ERMAP","NaN"
"584","ZNF691","NaN"
"585","RP11-342M1.7","NaN"
"586","SLC2A1","0.999999999999999"
"587","FAM183A","0.999999999999999"
"588","EBNA1BP2","0.999999999999999"
"589","TMEM125","0.999999999999999"
"590","C1orf210","NaN"
"591","TIE1","0.999999999999999"
"592","MPL","NaN"
"593","CDC20","0.999999999999999"
"594","ELOVL1","NaN"
"595","MED8","NaN"
"596","SZT2","1"
"597","HYI","NaN"
"598","PTPRF","1"
"599","KDM4A","0.999999999999999"
"600","ST3GAL3","NaN"
"601","ARTN","0.999999999999999"
"602","IPO13","0.999999999999999"
"603","DPH2","NaN"
"604","ATP6V0B","0.999999999999999"
"605","B4GALT2","NaN"
"606","CCDC24","0.999999999999999"
"607","SLC6A9","NaN"
"608","RP5-1198O20.4","NaN"
"609","KLF17","0.999999999999999"
"610","DMAP1","0.999999999999999"
"611","ERI3","NaN"
"612","RNF220","1"
"613","TMEM53","NaN"
"614","C1orf228","NaN"
"615","KIF2C","NaN"
"616","RPS8","NaN"
"617","BEST4","NaN"
"618","PLK3","NaN"
"619","TCTEX1D4","NaN"
"620","BTBD19","NaN"
"621","PTCH2","NaN"
"622","EIF2B3","1"
"623","HECTD3","0.999999999999999"
"624","UROD","0.999999999999999"
"625","ZSWIM5","1"
"626","HPDL","NaN"
"627","MUTYH","0.999999999999999"
"628","TOE1","0.999999999999999"
"629","TESK2","NaN"
"630","CCDC163P","1"
"631","MMACHC","NaN"
"632","PRDX1","0.999999999999999"
"633","AKR1A1","NaN"
"634","NASP","NaN"
"635","CCDC17","0.999999999999999"
"636","GPBP1L1","NaN"
"637","TMEM69","NaN"
"638","IPP","0.999999999999998"
"639","MAST2","0.999999999999999"
"640","PIK3R3","NaN"
"641","TSPAN1","0.999999999999999"
"642","POMGNT1","1"
"643","LURAP1","NaN"
"644","RAD54L","1"
"645","LRRC41","NaN"
"646","UQCRH","0.999999999999999"
"647","NSUN4","NaN"
"648","FAAH","NaN"
"649","DMBX1","NaN"
"650","KNCN","NaN"
"651","MKNK1","0.999999999999999"
"652","MOB3C","NaN"
"653","ATPAF1","NaN"
"654","EFCAB14","NaN"
"655","TEX38","NaN"
"656","CYP4B1","NaN"
"657","CYP4Z2P","0.999999999999999"
"658","CYP4A11","0.999999999999998"
"659","CYP4X1","NaN"
"660","CYP4Z1","NaN"
"661","CYP4A22","NaN"
"662","PDZK1IP1","NaN"
"663","TAL1","NaN"
"664","STIL","0.999999999999998"
"665","CMPK1","0.999999999999999"
"666","FOXE3","NaN"
"667","FOXD2","NaN"
"668","TRABD2B","NaN"
"669","SLC5A9","NaN"
"670","SPATA6","NaN"
"671","AGBL4","NaN"
"672","BEND5","NaN"
"673","ELAVL4","NaN"
"674","RP11-183G22.1","NaN"
"675","DMRTA2","NaN"
"676","FAF1","0.999999999999999"
"677","CDKN2C","0.999999999999999"
"678","C1orf185","NaN"
"679","CFL1P2","NaN"
"680","RNF11","NaN"
"681","TTC39A","NaN"
"682","EPS15","0.999999999999999"
"683","OSBPL9","0.999999999999999"
"684","SNORA26","NaN"
"685","NRD1","0.999999999999999"
"686","RAB3B","NaN"
"687","TXNDC12","0.999999999999999"
"688","KTI12","NaN"
"689","BTF3L4","NaN"
"690","ZFYVE9","0.999999999999999"
"691","CC2D1B","0.999999999999999"
"692","ORC1","1"
"693","PRPF38A","NaN"
"694","ZCCHC11","1"
"695","GPX7","NaN"
"696","FAM159A","NaN"
"697","ZYG11B","1"
"698","ZYG11A","NaN"
"699","ECHDC2","NaN"
"700","SCP2","1"
"701","PODN","0.999999999999999"
"702","SLC1A7","NaN"
"703","CPT2","NaN"
"704","C1orf123","1"
"705","MAGOH","NaN"
"706","LRP8","0.999999999999998"
"707","SLC25A3P1","NaN"
"708","DMRTB1","NaN"
"709","GLIS1","0.999999999999999"
"710","NDC1","0.999999999999999"
"711","YIPF1","NaN"
"712","DIO1","NaN"
"713","HSPB11","0.999999999999999"
"714","LRRC42","1"
"715","LDLRAD1","NaN"
"716","TMEM59","0.999999999999999"
"717","TCEANC2","0.999999999999999"
"718","CDCP2","1"
"719","CYB5RL","NaN"
"720","MRPL37","NaN"
"721","SSBP3","NaN"
"722","ACOT11","NaN"
"723","FAM151A","1"
"724","MROH7","NaN"
"725","TTC4","0.999999999999999"
"726","PARS2","0.999999999999999"
"727","TTC22","NaN"
"728","C1orf177","NaN"
"729","DHCR24","NaN"
"730","TMEM61","0.999999999999999"
"731","BSND","0.999999999999999"
"732","PCSK9","1"
"733","USP24","1"
"734","RP11-466L17.1","NaN"
"735","PPAP2B","0.999999999999999"
"736","PRKAA2","NaN"
"737","C1orf168","0.999999999999998"
"738","C8A","NaN"
"739","C8B","0.999999999999999"
"740","DAB1","NaN"
"741","RP11-393I23.4","NaN"
"742","OMA1","0.999999999999999"
"743","TACSTD2","NaN"
"744","MYSM1","1"
"745","JUN","NaN"
"746","FGGY","1"
"747","HOOK1","0.999999999999999"
"748","CYP2J2","NaN"
"749","C1orf87","NaN"
"750","NFIA","0.999999999999998"
"751","TM2D1","NaN"
"752","INADL","1"
"753","L1TD1","0.999999999999999"
"754","KANK4","0.999999999999999"
"755","USP1","0.999999999999999"
"756","DOCK7","0.999999999999998"
"757","ANGPTL3","0.999999999999999"
"758","ATG4C","0.999999999999998"
"759","FOXD3","NaN"
"760","ALG6","0.999999999999999"
"761","ITGB3BP","NaN"
"762","EFCAB7","NaN"
"763","PGM1","0.999999999999999"
"764","ROR1","NaN"
"765","UBE2U","NaN"
"766","CACHD1","0.999999999999999"
"767","RAVER2","0.999999999999999"
"768","JAK1","0.0256821728152235"
"769","MIR101-1","NaN"
"770","AK4","NaN"
"771","DNAJC6","NaN"
"772","LEPR","1"
"773","LEPROT","0.999999999999999"
"774","PDE4B","0.999999999999998"
"775","SGIP1","1"
"776","TCTEX1D1","NaN"
"777","INSL5","NaN"
"778","WDR78","0.999999999999998"
"779","MIER1","1"
"780","SLC35D1","0.999999999999999"
"781","C1orf141","NaN"
"782","IL23R","0.999999999999999"
"783","IL12RB2","0.999999999999998"
"784","SERBP1","NaN"
"785","GADD45A","NaN"
"786","GNG12","NaN"
"787","DIRAS3","NaN"
"788","WLS","0.000973144580535149"
"789","RPE65","0.999999999999999"
"790","DEPDC1","NaN"
"791","LRRC7","NaN"
"792","LRRC40","0.999999999999998"
"793","SRSF11","0.999999999999999"
"794","ANKRD13C","0.999999999999999"
"795","HHLA3","NaN"
"796","CTH","0.999999999999999"
"797","PTGER3","0.999999999999998"
"798","ZRANB2","NaN"
"799","NEGR1","0.999999999999999"
"800","LRRIQ3","1"
"801","FPGT","1"
"802","FPGT-TNNI3K","NaN"
"803","TNNI3K","0.999999999999999"
"804","LRRC53","NaN"
"805","CRYZ","0.999999999999999"
"806","TYW3","NaN"
"807","LHX8","0.999999999999999"
"808","SLC44A5","0.999999999999999"
"809","RP4-595K12.2","NaN"
"810","ACADM","0.999999999999999"
"811","RABGGTB","1"
"812","MSH4","1"
"813","ASB17","NaN"
"814","ST6GALNAC3","0.999999999999999"
"815","TPI1P1","NaN"
"816","ST6GALNAC5","0.999999999999999"
"817","PIGK","1"
"818","AK5","NaN"
"819","ZZZ3","1"
"820","USP33","1"
"821","FAM73A","0.999999999999999"
"822","NEXN","1"
"823","FUBP1","NaN"
"824","DNAJB4","0.999999999999998"
"825","GIPC2","NaN"
