"","Gene","p value"
"212","FBLIM1","NaN"
"213","SPEN","0.999999999999999"
"214","ZBTB17","1"
"215","C1orf64","NaN"
"216","HSPB7","NaN"
"217","CLCNKA","0.517454023030534"
"218","CLCNKB","1"
"219","FAM131C","1"
"220","EPHA2","0.482527650257489"
"221","ARHGEF19","0.942551418035588"
"222","RSG1","1"
"223","FBXO42","0.999999999999999"
"224","SZRD1","1"
"225","SPATA21","NaN"
"226","NECAP2","NaN"
"227","CROCCP3","NaN"
"228","NBPF1","0.999999999999999"
"229","CROCCP2","1"
"230","MST1P2","0.942551418035588"
"231","ESPNP","1"
"232","CROCC","0.999999999999999"
"233","MST1L","NaN"
"234","RP11-108M9.4","NaN"
"235","MFAP2","NaN"
"236","ATP13A2","0.79698009745237"
"237","SDHB","NaN"
"238","PADI2","0.517454023030534"
"239","RP11-380J14.1","NaN"
"240","PADI1","1"
"241","PADI3","NaN"
"242","PADI4","1"
"243","PADI6","NaN"
"244","RCC2","NaN"
"245","ARHGEF10L","0.942551418035588"
"246","ACTL8","NaN"
"247","IGSF21","NaN"
"248","KLHDC7A","0.999999999999999"
"249","PAX7","1"
"250","TAS1R2","0.79698009745237"
"251","ALDH4A1","NaN"
"252","IFFO2","1"
"253","UBR4","0.0523976050044724"
"254","EMC1","1"
"255","MRTO4","1"
"256","AKR7L","NaN"
"257","AKR7A3","NaN"
"258","AKR7A2","NaN"
"259","PQLC2","NaN"
"260","CAPZB","NaN"
"261","MINOS1","NaN"
"262","NBL1","NaN"
"263","HTR6","NaN"
"264","TMCO4","1"
"265","RNF186","NaN"
"266","OTUD3","0.517454023030534"
"267","PLA2G2E","NaN"
"268","PLA2G2A","NaN"
"269","PLA2G5","NaN"
"270","PLA2G2D","1"
"271","PLA2G2F","NaN"
"272","PLA2G2C","NaN"
"273","UBXN10","NaN"
"274","VWA5B1","NaN"
"275","CAMK2N1","1"
"276","MUL1","NaN"
"277","FAM43B","0.999999999999999"
"278","CDA","NaN"
"279","PINK1","NaN"
"280","DDOST","NaN"
"281","KIF17","NaN"
"282","SH2D5","NaN"
"283","HP1BP3","0.999999999999999"
"284","EIF4G3","0.999999999999999"
"285","ECE1","NaN"
"286","NBPF2P","NaN"
"287","NBPF3","NaN"
"288","ALPL","0.999999999999999"
"289","RAP1GAP","0.517454023030534"
"290","USP48","0.0780222096181066"
"291","LDLRAD2","NaN"
"292","HSPG2","0.79698009745237"
"293","CELA3B","NaN"
"294","CELA3A","NaN"
"295","LINC00339","NaN"
"296","CDC42","NaN"
"297","WNT4","NaN"
"298","ZBTB40","0.79698009745237"
"299","EPHA8","1"
"300","C1QA","NaN"
"301","C1QC","NaN"
"302","C1QB","NaN"
"303","EPHB2","NaN"
"304","C1orf234","NaN"
"305","KDM1A","0.942551418035588"
"306","LUZP1","1"
"307","HTR1D","NaN"
"308","HNRNPR","NaN"
"309","ZNF436","0.999999999999999"
"310","TCEA3","NaN"
"311","ASAP3","0.999999999999999"
"312","E2F2","1"
"313","ID3","NaN"
"314","MDS2","NaN"
"315","RPL11","0.942551418035588"
"316","TCEB3","1"
"317","PITHD1","NaN"
"318","LYPLA2","0.999999999999999"
"319","GALE","0.999999999999999"
"320","HMGCL","0.0780222096181066"
"321","FUCA1","1"
"322","CNR2","NaN"
"323","PNRC2","NaN"
"324","SRSF10","NaN"
"325","MYOM3","0.517454023030534"
"326","IL22RA1","NaN"
"327","IFNLR1","NaN"
